header,statement,answers
" 
 
Populações inteiras, nas cidades e na zona rural, 
dispõem  da  parafernália  digital  global  como  fonte  de 
educação e de formação cultural. Essa simultaneidade de 
cultura e informação eletrônica com as formas tradicionais 
e  orais  é  um  desafio  que  necessita  ser  discutido.  A 
exposição,  via  mídia  eletrônica,  com  estilos  e  valores 
culturais de outras sociedades, pode inspirar apreço, mas 
também  distorções  e  ressentimentos.  Tanto  quanto  há 
necessidade  de  uma  cultura  tradicional  de  posse  da 
educação  letrada,  também  é  necessário  criar  estratégias 
de  alfabetização  eletrônica,  que  passam  a  ser  o  grande 
canal de informação das culturas segmentadas no interior 
dos grandes centros urbanos e das zonas rurais. Um novo 
modelo de educação. 

BRIGAGÃO, C. E.; RODRIGUES, G. A globalização a olho nu: o 
mundo conectado. São Paulo: Moderna, 1998 (adaptado). 
","
Com  base  no  texto  e  considerando  os  impactos  culturais 
da  difusão  das  tecnologias  de  informação  no  marco  da 
globalização, depreende-se que 
",
"CIATTONI, A. Géographie. L’espace mondial.  
Paris: Hatier, 2008 (adaptado). 
","
A partir do mapa apresentado, é possível inferir que nas 
últimas décadas do século XX, registraram-se processos 
que  resultaram  em  transformações  na  distribuição  das 
atividades econômicas e da população sobre o território 
brasileiro, com reflexos no PIB por habitante. Assim, 
",
"No  período  750-338  a.  C.,  a  Grécia  antiga  era 
composta  por  cidades-Estado,  como  por  exemplo  Atenas, 
Esparta,  Tebas,  que  eram  independentes  umas  das  outras, 
mas  partilhavam  algumas  características  culturais,  como  a 
língua  grega.  No  centro  da  Grécia,  Delfos  era  um  lugar  de 
culto  religioso  frequentado  por  habitantes  de  todas  as 
cidades-Estado. 

No período 1200-1600 d. C., na parte da Amazônia 
brasileira  onde  hoje  está  o  Parque  Nacional  do  Xingu,  há 
vestígios de quinze cidades que eram cercadas por muros de 
madeira  e  que  tinham  até  dois  mil  e  quinhentos  habitantes 
cada  uma.  Essas  cidades  eram  ligadas  por  estradas  a 
centros  cerimoniais  com  grandes  praças.  Em  torno  delas 
havia roças, pomares e tanques para a criação de tartarugas. 
Aparentemente,  epidemias  dizimaram  grande  parte  da 
população que lá vivia. 

Folha de S. Paulo, ago. 2008 (adaptado). 
","
Apesar  das  diferenças  históricas  e  geográficas  existentes 
entre as duas civilizações elas são semelhantes pois 
",
" 
O  movimento  migratório  no  Brasil  é  significativo, 
principalmente em função do volume de pessoas que saem 
de  uma  região  com  destino  a  outras  regiões.  Um  desses 
movimentos  ficou  famoso  nos  anos  80,  quando  muitos 
nordestinos  deixaram  a  região  Nordeste  em  direção  ao 
Sudeste do Brasil. Segundo os dados do IBGE de 2000, este 
processo  continuou  crescente  no  período  seguinte,  os  anos 
90, com um acréscimo de 7,6% nas migrações deste mesmo 
fluxo.  A  Pesquisa  de  Padrão  de  Vida,  feita  pelo  IBGE,  em 
1996,  aponta  que,  entre  os  nordestinos  que  chegam  ao 
Sudeste, 48,6% exercem trabalhos manuais não qualificados, 
18,5%  são  trabalhadores  manuais  qualificados,  enquanto 
13,5%,  embora  não  sejam 
trabalhadores  manuais,  se 
encontram em áreas que não exigem formação profissional. 
O  mesmo  estudo  indica  também  que  esses  migrantes 
possuem,  em  média,  condição  de  vida  e  nível  educacional 
acima  dos  de  seus  conterrâneos  e  abaixo  dos  de  cidadãos 
estáveis do Sudeste. 

Disponível em: http://www.ibge.gov.br. Acesso em: 30 jul. 2009 (adaptado). 
","
Com base nas informações contidas no texto, depreende-se que 
",
" 
Apesar  do  aumento  da  produção  no  campo  e  da 
integração  entre  a  indústria  e  a  agricultura,  parte  da 
população  da  América  do  Sul  ainda  sofre  com  a 
subalimentação,  o  que  gera  conflitos  pela  posse  de  terra 
que  podem  ser  verificados  em  várias  áreas  e  que 
frequentemente chegam a provocar mortes.  
"," 
Um dos fatores que explica a subalimentação na América do Sul é 
",
" 
 
A luta pela terra no Brasil é marcada por diversos 
aspectos  que  chamam  a  atenção.  Entre  os  aspectos 
positivos,  destaca-se  a  perseverança  dos  movimentos  do 
campesinato  e,  entre  os  aspectos  negativos,  a  violência 
que  manchou  de  sangue  essa  história.  Os  movimentos 
pela  reforma  agrária  articularam-se  por  todo  o  território 
nacional, principalmente entre 1985 e 1996, e conseguiram 
de  maneira  expressiva  a inserção  desse tema  nas discussões  pelo  acesso  à terra.  O  mapa  seguinte apresenta a distribuição dos conflitos agrários em todas as regiões  do  Brasil  nesse  período,  e  o  número  de  mortes ocorridas nessas lutas. 


OLIVEIRA, A. U. A longa marcha do campesinato brasileiro: movimentos sociais, conflitos e 
reforma agrária. Revista Estudos Avançados. Vol. 15 n. 43, São Paulo, set./dez. 2001.  

"," 
Com base nas informações do mapa acerca dos conflitos pela posse de terra no Brasil, a região  
",
" 
O gráfico mostra o percentual de áreas ocupadas, segundo o tipo de propriedade rural no Brasil, no ano de 2006. 
  

Área ocupada pelos imóveis rurais 

 
MDA/INCRA (DIEESE, 2006) 
Disponível em: http://www.sober.org.br. Acesso em: 6 ago. 2009. 

 
","
De  acordo  com  o  gráfico  e  com  referência  à  distribuição 
das áreas rurais no Brasil, conclui-se que 
",
"
Entre 2004 e 2008, pelo menos 8 mil brasileiros foram 
libertados  de  fazendas  onde  trabalhavam  como  se  fossem 
escravos. O governo criou uma lista em que ficaram expostos 
os  nomes  dos  fazendeiros  flagrados  pela  fiscalização.  No 
Norte, Nordeste e Centro-Oeste, regiões que mais sofrem com 
a  fraqueza  do  poder  público,  o  bloqueio  dos  canais  de 
financiamento  agrícola  para  tais  fazendeiros  tem  sido  a 
principal arma de combate a esse problema, mas os governos 
ainda  sofrem  com  a  falta  de  informações,  provocada  pelas 
distâncias  e  pelo  poder intimidador  dos  proprietários. 
Organizações não governamentais e grupos como a Pastoral 
da Terra têm agido corajosamente, acionando as autoridades 
públicas  e  ministrando  aulas  sobre  direitos  sociais  e 
trabalhistas. 

“Plano Nacional para Erradicação do Trabalho Escravo”. Disponível em: 
http://www.mte.gov.br. Acesso em: 17 mar. 2009 (adaptado). 
","
Nos  lugares  mencionados  no  texto,  o  papel  dos  grupos  de 
defesa  dos  direitos  humanos  tem  sido  fundamental,  porque 
eles 
",
" 
O  homem  construiu  sua  história  por  meio  do 
constante  processo  de  ocupação  e  transformação  do 
espaço  natural.  Na  verdade,  o  que  variou,  nos  diversos 
momentos da experiência humana, foi a intensidade dessa 
exploração. 

Disponível em: http://www.simposioreformaagraria.propp.ufu.br.  
Acesso em: 09 jul. 2009 (adaptado). 
","
Uma  das  consequências  que  pode  ser  atribuída  à crescente intensificação  da  exploração  de recursos naturais,  facilitada  pelo  desenvolvimento  tecnológico  ao longo da história, é 
",
" 
No presente, observa-se crescente atenção aos efeitos da 
atividade  humana,  em  diferentes  áreas,  sobre  o  meio 
ambiente,  sendo  constante,  nos  fóruns  internacionais  e 
nas  instâncias  nacionais,  a  referência  à  sustentabilidade 
como princípio orientador de ações e propostas que deles emanam.
","
A sustentabilidade explica-se pela 
",
"
Com  a  perspectiva  do  desaparecimento  das geleiras  no  Polo  Norte,  grandes  reservas  de  petróleo  e minérios,  hoje  inacessíveis,  poderão  ser  exploradas.  E  já atiçam a cobiça das potências. 

KOPP, D. Guerra Fria sobre o Ártico. Le monde diplomatique Brasil.  
Setembro, n. 2, 2007 (adaptado). 
","
No cenário de que trata o texto, a exploração de jazidas de 
petróleo,  bem  como  de  minérios  –  diamante,  ouro,  prata, 
cobre,  chumbo,  zinco  –  torna-se  atraente  não  só  em 
função de seu formidável potencial, mas também por 
",
" 
No mundo contemporâneo, as reservas energéticas tornam-se estratégicas para muitos países no cenário internacional. Os gráficos  apresentados  mostram  os  dez  países  com  as  maiores  reservas  de  petróleo  e  gás  natural  em  reservas comprovadas até janeiro de 2008. 
 
Disponível em: http://indexmundi.com. Acesso em: 12 ago. 2009 (adaptado). 
","
As reservas venezuelanas figuram em ambas as classificações porque 
",
"
BETHEL, L. História da América. V. I. São Paulo: Edusp, 1997.  
","
As terras brasileiras foram divididas por meio de tratados entre Portugal  e  Espanha.  De  acordo  com  esses tratados, identificados no mapa, conclui-se que 
",
" 
O clima é um dos elementos fundamentais não só 
na caracterização das paisagens naturais, mas também no 
histórico de ocupação do espaço geográfico.  
","
Tendo  em  vista  determinada  restrição  climática,  a  figura 
que  representa  o  uso  de  tecnologia  voltada  para  a 
produção é: 
",
"

Disponível em: http://clickdigitalsj.com.br. Acesso em: 9 jul. 2009. 

;
 
Disponível em: http://conexaoambiental.zip.net/images/ 
charge.jpg. Acesso em: 9 jul. 2009. 
","
Reunindo-se  as  informações  contidas  nas  duas  charges, 
infere-se que 
",
" 
Na figura, observa-se uma classificação de regiões da América do Sul segundo o grau de aridez verificado. 
 
Disponível em: http:// www.mutirao.com.br.  
Acesso em: 5 ago. 2009. 
"," 
Em relação às regiões marcadas na figura, observa-se que 
",
" 
À medida que a demanda por água aumenta, as reservas 
desse  recurso  vão  se  tornando  imprevisíveis.  Modelos 
matemáticos  que  analisam  os  efeitos  das  mudanças 
climáticas  sobre  a  disponibilidade  de  água  no  futuro 
indicam  que  haverá  escassez  em  muitas  regiões  do 
planeta.  
","
São  esperadas  mudanças  nos  padrões  de precipitação, pois 
",
" 
A  mais  profunda  objeção  que  se  faz  à  ideia  da 
criação  de  uma  cidade,  como  Brasília,  é  que  o  seu 
desenvolvimento  não  poderá  jamais  ser  natural.  É  uma 
objeção  muito  séria,  pois  provém  de  uma  concepção  de 
vida fundamental: a de que a atividade social e cultural não 
pode  ser  uma  construção.  Esquecem-se,  porém,  aqueles 
que fazem tal crítica, que o Brasil, como praticamente toda 
a América, é criação do homem ocidental. 

PEDROSA, M. Utopia: obra de arte. Vis – Revista do Programa de  
Pós-graduação em Arte (UnB), Vol. 5, n. 1, 2006 (adaptado). 
","
As ideias apontadas no texto estão em oposição, porque 
",
" 
As  áreas  do  planalto  do  cerrado  –  como  a chapada dos Guimarães, a serra de Tapirapuã e a serra dos  Parecis,  no  Mato  Grosso,  com  altitudes  que  variam de  400  m  a  800  m  –  são  importantes  para  a  planície pantaneira mato-grossense (com altitude média inferior a 200 m), no que se refere à manutenção do nível de água, sobretudo durante a estiagem. Nas cheias, a inundação ocorre  em  função  da  alta  pluviosidade  nas  cabeceiras dos  rios,  do  afloramento  de  lençóis  freáticos  e  da  baixa declividade  do  relevo,  entre  outros  fatores.  Durante  a estiagem,  a  grande  biodiversidade  é  assegurada  pelas 
águas  da  calha  dos  principais  rios,  cujo  volume  tem diminuído, principalmente nas cabeceiras. 

Cabeceiras ameaçadas. Ciência Hoje. Rio de Janeiro: SBPC. Vol. 42, jun. 2008 (adaptado). 
","
A  medida  mais  eficaz  a  ser tomada,  visando  à conservação  da  planície  pantaneira  e  à  preservação  de sua  grande  biodiversidade,  é  a  conscientização  da sociedade  e  a  organização  de  movimentos  sociais  que exijam  
",
